原文	填写中文
Advanced EXP Scroll	高級經驗卷軸
Advanced Armor Upgrade Stone	高級防具強化石
Advanced Weapon Upgrade Stone	高級武器強化石
Advanced Flying Scroll	高級舞空術卷軸
Advanced Potion Capsule	高級藥水膠囊
Advanced Upgrade Stone Capsule	高級強化石膠囊
Advanced Accessory Recipe Box	高級飾品配方箱
Mighty Majin	大魔人
Wonder Majin	意魔人
Martial Artist	武道家
Fighter	格鬥家
Spiritualist	氣功師
Crane Hermit	鶴仙流
Swordsman	劍術家
Turtle Hermit	龜仙流
Warrior	戰士
Dragon Clan	龍族
Dark Warrior	魔界戰士
Shadow Knight	魔導戰士
Dende Priest	天天導師
Poko Priest	波可導師
Grand Chef Majin	葛蘭魔
Ultimate Majin	奧迪魔
Karma Majin	卡爾魔
Plasma Majin	普利茲魔
