位置	填写中文
DST_POPUP_ITEMBOX_LVTWO	[font size = "9" color="269eff"]等級禮包[/font][font size = "9" color="#323232"]依等級發放的禮包。[/font]
DST_OPTION_TAB_DROP_FILTER	掉落過濾
DST_OPTION_DROPFILTER_NORMAL	一般
DST_OPTION_DROPFILTER_SUPERIOR	高級
DST_OPTION_DROPFILTER_EXCELENT	特級
DST_OPTION_DROPFILTER_RARE	稀少
DST_OPTION_DROPFILTER_AUTOCOLLECT	自動拾取
DST_OPTION_DROPFILTER_TOOLTIP_NORMAL	過濾一般物品
DST_OPTION_DROPFILTER_TOOLTIP_SUPERIOR	過濾高級物品
DST_OPTION_DROPFILTER_TOOLTIP_EXCELENT	過濾特級物品
DST_OPTION_DROPFILTER_TOOLTIP_RARE	過濾稀少物品
DST_OPTION_DROPFILTER_TOOLTIP_RECOVER	過濾恢復道具
DST_OPTION_DROPFILTER_TOOLTIP_AUTOCOLLECT	自動拾取物品
DST_OPTION_DROPFILTER_ARMORUPGRADE	防具強化石
DST_OPTION_DROPFILTER_ARMORGREATERUPGRADE	防具高級強化石
DST_OPTION_DROPFILTER_ARMORDOWNGRADE	防具降級石
DST_OPTION_DROPFILTER_WEAPONGREATERUPGRADE	武器高級強化石
DST_OPTION_DROPFILTER_TOOLTIP_ARMORUPGRADE	過濾防具強化石
DST_OPTION_DROPFILTER_TOOLTIP_ARMORGREATERUPGRADE	過濾防具高級強化石
DST_OPTION_DROPFILTER_TOOLTIP_ARMORDOWNGRADE	過濾防具降級石
DST_OPTION_DROPFILTER_TOOLTIP_WEAPONGREATERUPGRADE	過濾武器高級強化石
DST_ITEM_GRADE_SUPERIOR	高級
