line	file	id	source_text	translation	reason	taiwan_refs
298	tbl0.pak	0x01341695	Special	特殊	translation_any_taiwan	local_data.dat:DST_HOIPOIMIX_RECIPE_FILTER_SPECIAL;local_data.dat:DST_SCOUTER_PC_VIEWER_SPECIAL
319	tbl0.pak	0x01397DF1	Warrior	那美克战士	translation_any_taiwan	local_data.dat:DST_NAMEK_FIGHTER;table_text_all_data.rdf:13:6008:0;table_text_all_data.rdf:14:3007:0;table_text_all_data.rdf:3:111703240:0
320	tbl0.pak	0x01397F6D	Wonder	意魔人	translation_any_taiwan	local_data.dat:DST_WONDER_MAJIN;table_text_all_data.rdf:13:6014:0;table_text_all_data.rdf:14:3010:0
323	tbl0.pak	0x0139972D	Warrior	那美克战士	translation_any_taiwan	local_data.dat:DST_NAMEK_FIGHTER;table_text_all_data.rdf:13:6008:0;table_text_all_data.rdf:14:3007:0;table_text_all_data.rdf:3:111703240:0
441	tbl1.pak	0x016C2E38	Capsule	胶囊	translation_any_taiwan	table_text_all_data.rdf:4:101:0
442	tbl1.pak	0x016C2E5A	Potion	药水	translation_any_taiwan	local_data.dat:DST_MARKET_RESORATIVE_ITEM;table_text_all_data.rdf:4:2100581:0
443	tbl1.pak	0x016C2E92	Martial Artist Combat	武道家战斗	translation_any_taiwan	table_text_all_data.rdf:4:11011:0;table_text_all_data.rdf:4:11041:0;table_text_all_data.rdf:4:17011:0
445	tbl1.pak	0x016C2EEE	Martial Artist HTB	武道家HTB	translation_any_taiwan	table_text_all_data.rdf:4:11013:0;table_text_all_data.rdf:4:11043:0;table_text_all_data.rdf:4:17013:0
446	tbl1.pak	0x016C2F18	Spiritualist Combat	气功师战斗	translation_any_taiwan	table_text_all_data.rdf:4:11021:0;table_text_all_data.rdf:4:11051:0;table_text_all_data.rdf:4:17021:0
448	tbl1.pak	0x016C2F6C	Spiritualist HTB	气功师HTB	translation_any_taiwan	table_text_all_data.rdf:4:11023:0;table_text_all_data.rdf:4:11053:0;table_text_all_data.rdf:4:17023:0
449	tbl1.pak	0x016C2F92	Martial Artist Combat	武道家战斗	translation_any_taiwan	table_text_all_data.rdf:4:11011:0;table_text_all_data.rdf:4:11041:0;table_text_all_data.rdf:4:17011:0
451	tbl1.pak	0x016C2FEE	Martial Artist HTB	武道家HTB	translation_any_taiwan	table_text_all_data.rdf:4:11013:0;table_text_all_data.rdf:4:11043:0;table_text_all_data.rdf:4:17013:0
452	tbl1.pak	0x016C3018	Spiritualist Combat	气功师战斗	translation_any_taiwan	table_text_all_data.rdf:4:11021:0;table_text_all_data.rdf:4:11051:0;table_text_all_data.rdf:4:17021:0
454	tbl1.pak	0x016C306C	Spiritualist HTB	气功师HTB	translation_any_taiwan	table_text_all_data.rdf:4:11023:0;table_text_all_data.rdf:4:11053:0;table_text_all_data.rdf:4:17023:0
459	tbl1.pak	0x016C3154	Spiritualists	气功师	translation_any_taiwan	local_data.dat:DST_HUMAN_MYSTIC;table_text_all_data.rdf:13:6011:0;table_text_all_data.rdf:14:3006:0
461	tbl1.pak	0x016C32EE	Spiritualists	气功师	translation_any_taiwan	local_data.dat:DST_HUMAN_MYSTIC;table_text_all_data.rdf:13:6011:0;table_text_all_data.rdf:14:3006:0
464	tbl1.pak	0x016C33A4	Scouter	探测器	pair_any_taiwan	local_data.dat:DST_EQUIP_SLOT_TYPE_SCOUTER
465	tbl1.pak	0x016C33DA	Weapon	武器	pair_any_taiwan	local_data.dat:DST_EQUIP_SLOT_TYPE_HAND
467	tbl1.pak	0x016C34E4	Material	材料	translation_any_taiwan	local_data.dat:DST_MARKET_STUFF;table_text_all_data.rdf:4:11893:0;table_text_all_data.rdf:4:17604:0;table_text_all_data.rdf:4:18634:0;table_text_all_data.rdf:4:199511:0
535	tbl1.pak	0x016C7C46	Beverage	饮料	translation_any_taiwan	table_text_all_data.rdf:4:21564:0;table_text_all_data.rdf:4:21771:0;table_text_all_data.rdf:4:21791:0;table_text_all_data.rdf:4:21811:0;table_text_all_data.rdf:4:21821:0;table_text_all_data.rdf:4:21853:0
536	tbl1.pak	0x016C7D3A	Target	目标	pair_any_taiwan	local_data.dat:DST_DWC_TARGET
538	tbl1.pak	0x016C85DA	Outfit	套装	translation_any_taiwan	local_data.dat:DST_SCOUTER_PC_VIEWER_COSTUME
541	tbl1.pak	0x016C8738	Time Machine	时光机	translation_any_taiwan	table_text_all_data.rdf:13:14158:0;table_text_all_data.rdf:4:107404:0
549	tbl1.pak	0x016C97BE	Earring	耳环	pair_any_taiwan	local_data.dat:DST_EQUIP_SLOT_TYPE_EARRING
553	tbl1.pak	0x016C9D92	Empowerment	强化	translation_any_taiwan	local_data.dat:DST_MULTIDIALOG_MENU_SMITH_UPGRADE;table_text_all_data.rdf:7:24480:0;table_text_all_data.rdf:7:24481:0
563	tbl1.pak	0x01714EE2	Gatekeeper	守门人	translation_any_taiwan	local_data.dat:DST_JOB_GATE_KEEPER;table_text_all_data.rdf:6:30:0
568	tbl1.pak	0x01721EAC	Bardock	巴达克	translation_any_taiwan	table_text_all_data.rdf:6:1151102:0
569	tbl1.pak	0x01721F08	Martial Artist	武道家	translation_any_taiwan	local_data.dat:DST_HUMAN_FIGHTER;table_text_all_data.rdf:13:6010:0;table_text_all_data.rdf:14:3005:0;table_text_all_data.rdf:6:1181101:0;table_text_all_data.rdf:6:1181102:0
570	tbl1.pak	0x01721F2A	Martial Artist	武道家	translation_any_taiwan	local_data.dat:DST_HUMAN_FIGHTER;table_text_all_data.rdf:13:6010:0;table_text_all_data.rdf:14:3005:0;table_text_all_data.rdf:6:1181101:0;table_text_all_data.rdf:6:1181102:0
579	tbl1.pak	0x01725D28	Chiaotzu	饺子	translation_any_taiwan	table_text_all_data.rdf:6:1581101:0;table_text_all_data.rdf:6:1582101:0;table_text_all_data.rdf:6:1582102:0
584	tbl1.pak	0x01728E2E	Burter	巴特	translation_any_taiwan	table_text_all_data.rdf:5:1541101:0;table_text_all_data.rdf:5:1541102:0;table_text_all_data.rdf:5:1541103:0;table_text_all_data.rdf:6:2671101:0
653	tbl1.pak	0x0172F5D2	Big Elder	大长老	translation_any_taiwan	table_text_all_data.rdf:6:4211102:0;table_text_all_data.rdf:6:4211201:0
689	tbl1.pak	0x01733506	Piccolo	比克	translation_any_taiwan	table_text_all_data.rdf:13:9047:0;table_text_all_data.rdf:6:5551101:0;table_text_all_data.rdf:6:5551102:0;table_text_all_data.rdf:6:5551103:0;table_text_all_data.rdf:6:5551104:0;table_text_all_data.rdf:6:5551106:0;table_text_all_data.rdf:6:5552101:0;table_text_all_data.rdf:6:5552102:0;table_text_all_data.rdf:6:5552103:0;table_text_all_data.rdf:6:5552201:0;table_text_all_data.rdf:6:5553101:0;table_text_all_data.rdf:6:5553102:0;table_text_all_data.rdf:6:5553103:0;table_text_all_data.rdf:6:5553104:0
702	tbl1.pak	0x017347E0	Shenron	神龙	translation_any_taiwan	local_data.dat:DST_SHENRON;table_text_all_data.rdf:5:717621440:0;table_text_all_data.rdf:6:6361101:0;table_text_all_data.rdf:6:6361102:0;table_text_all_data.rdf:6:6361103:0;table_text_all_data.rdf:6:6361104:0;table_text_all_data.rdf:6:6361105:0
729	tbl1.pak	0x017F2666	Super Saiyan	超级赛亚人	translation_any_taiwan	table_text_all_data.rdf:13:3011:0;table_text_all_data.rdf:13:5030:0;table_text_all_data.rdf:17:2611002:0;table_text_all_data.rdf:17:2612002:0;table_text_all_data.rdf:7:1211110:0;table_text_all_data.rdf:7:210110:0
730	tbl1.pak	0x017F2684	Pure Majin	纯粹魔人	translation_any_taiwan	table_text_all_data.rdf:7:5202510:0;table_text_all_data.rdf:7:6202410:0
869	tbl1.pak	0x0186B918	Martial Artist	武道家	translation_any_taiwan	local_data.dat:DST_HUMAN_FIGHTER;table_text_all_data.rdf:13:6010:0;table_text_all_data.rdf:14:3005:0;table_text_all_data.rdf:6:1181101:0;table_text_all_data.rdf:6:1181102:0
870	tbl1.pak	0x0186B93A	Spiritualist	气功师	translation_any_taiwan	local_data.dat:DST_HUMAN_MYSTIC;table_text_all_data.rdf:13:6011:0;table_text_all_data.rdf:14:3006:0
871	tbl1.pak	0x0186B958	Warrior	那美克战士	translation_any_taiwan	local_data.dat:DST_NAMEK_FIGHTER;table_text_all_data.rdf:13:6008:0;table_text_all_data.rdf:14:3007:0;table_text_all_data.rdf:3:111703240:0
872	tbl1.pak	0x0186B96C	Dragon Clan	那美克龙族	translation_any_taiwan	local_data.dat:DST_NAMEK_MYSTIC;table_text_all_data.rdf:13:6009:0;table_text_all_data.rdf:14:3008:0
873	tbl1.pak	0x0186B9A6	Wonder Majin	意魔人	translation_any_taiwan	local_data.dat:DST_WONDER_MAJIN;table_text_all_data.rdf:13:6014:0;table_text_all_data.rdf:14:3010:0
885	tbl1.pak	0x011ADE53	Dungeon	副本	translation_any_taiwan	local_data.dat:DST_TELEPORT_TYPE_DUNGEON
929	tbl1.pak	0x012B37B9	Fighter	战士	translation_any_taiwan	table_text_all_data.rdf:13:17029:0
1009	tbl1.pak	0x012ECB39	Upgrade Stone	升级石	pair_any_taiwan	local_data.dat:DST_DOJO_UPGRADE_NEED_ITEM
1246	tbl1.pak	0x013661BF	Crystal	水晶	translation_any_taiwan	table_text_all_data.rdf:3:5110010:0
1458	tbl1.pak	0x013B6A17	Dragon Stick	龙棍	translation_any_taiwan	table_text_all_data.rdf:3:6720200:0
2043	tbl1.pak	0x0150B243	Stone Sword	石剑	translation_any_taiwan	table_text_all_data.rdf:3:7935050:0
2055	tbl1.pak	0x0150C95F	Meat R	肉R	translation_any_taiwan	table_text_all_data.rdf:3:7990010:0
2434	tbl1.pak	0x01655683	Energy	气功	translation_any_taiwan	local_data.dat:DST_SYSTEMEFFECT_ENERGY
2435	tbl1.pak	0x016556FB	Attack	攻击	translation_any_taiwan	table_text_all_data.rdf:13:1016:0
2436	tbl1.pak	0x016557FB	Attack Speed	攻击速度	translation_any_taiwan	table_text_all_data.rdf:13:1034:0
2834	tbl1.pak	0x016D730F	Water Lizard	水蜥蜴	translation_any_taiwan	table_text_all_data.rdf:5:2311116:0;table_text_all_data.rdf:5:2311117:0;table_text_all_data.rdf:5:2311118:0
