原文	填写中文
Mudosa currently unavailable.	武道寺目前無法使用。
HoiPoi prevent destruction	膠囊防爆
Successfully exchanged.	兌換成功。
Penalty: %d remain	懲罰：剩餘 %d
Monster emerges	怪物出現
Abandoned: %s	已放棄：%s
Mastered: %s	已精通：%s
Repairs: %u	修理：%u
Visited: %s	已拜訪：%s
Signed: %s	署名：%s
Range: %dM	範圍：%dM
Mudosa: %d	武道寺：%d
Servers	伺服器
Package	禮包
Bundles	組合包
Prepare	準備
against	對抗
Region:	地區：
Botting	外掛
Confuse	混亂
Stomach	胃部
Winners	優勝者
Portals	傳送門
Storage	倉庫
Losing	落敗
Unique	獨特
Prolog	序章
Remain	剩餘
States	狀態
Random	隨機
Manual	手動
Terror	恐懼
Poison	中毒
Height	高度
Plant	植物
Abuse	檢舉
Worst	最差
Agree	同意
Relay	轉播
Smart	智慧
mean	平均
Hero	英雄
Bugs	蟲族
Burn	燃燒
Raid	團隊副本
Ver.	版本
Etc	其他
Job	職業
Min	最小
Slot0	欄位0
Slot1	欄位1
Slot2	欄位2
Slot3	欄位3
Slot4	欄位4
Slot5	欄位5
Slot6	欄位6
Slot7	欄位7
Slot8	欄位8
Slot9	欄位9
Slot0+	欄位0+
Slot1+	欄位1+
Slot2+	欄位2+
Slot3+	欄位3+
Slot4+	欄位4+
Slot5+	欄位5+
Slot6+	欄位6+
Slot7+	欄位7+
Slot8+	欄位8+
Slot9+	欄位9+
Slot0++	欄位0++
Slot1++	欄位1++
Slot2++	欄位2++
Slot3++	欄位3++
Slot4++	欄位4++
Slot5++	欄位5++
Slot6++	欄位6++
Slot7++	欄位7++
Slot8++	欄位8++
Slot9++	欄位9++
Total: %u I, %u W, %u L	Total:%uI,%uW,%uL
Lv. %d ~ %d	Lv. %d~%d
Lv.%d - %d	Lv.%d-%d
