原文	填写中文
Everyone hitting this target, ranked by aggro.\nThe target attacks whoever sits at the top.	所有攻擊此目標者，依仇恨排序。\n目標會攻擊排在最上方者。
Armor Element: 	防具屬性：
 Elemental Attack: %.0f%%	 屬性攻擊：%.0f%%
Elements: 	屬性：
 Elemental Defense: %.0f%%	 屬性防禦：%.0f%%
Weapon Element: 	武器屬性：
If it fails, the item element is cleared.	若失敗，物品屬性會被清除。
VIP members can open Change Element remotely from the status bar.	VIP 可從狀態列遠端開啟變更屬性。
%s - %s	%s - %s
DWC Points	DWC 點數
EXP: %u / %u	EXP: %u / %u
Select an element and apply it to gloves or jacket.	選擇屬性並套用到手套或上衣。
Element Change[br]%s -> %s	屬性變更[br]%s -> %s
No element changed	屬性未變更
Item Element Change (%s > %s)	屬性變更(%s>%s)
Element untouched	屬性未變
Performance Mode: hides effects, other players, pets and mascots for maximum FPS.	性能模式：隱藏特效、其他玩家、寵物與吉祥物以提升 FPS。
Performance Mode OFF - graphics restored.	性能模式關——畫面已還原。
Auto Collect: picks up nearby items automatically.	自動拾取：自動撿起附近物品。
Verify	驗證
For now, you can only have 25 Resets.	目前最多只能重置 25 次。
Attributes\nLeft icon = weapon element (elemental ATK).\nRight icon = armor element (elemental DEF).	屬性\n左圖示＝武器屬性（屬性攻擊）。\n右圖示＝防具屬性（屬性防禦）。
CLAIM PAGE	領取本頁
CLAIMING...	領取中...
WAIT %ds	等待 %ds
Claimed %d items from this page.	已從此頁領取 %d 件物品。
There is nothing to claim on this page.	本頁沒有可領取的物品。
Please wait a moment before claiming another page.	請稍候再領取其他頁。
Daily Sign-In	每日簽到
CLAIM	領取
Checked in: %u / %u days	已簽到：%u / %u 天
Season ends in %ud %uh	本季剩餘 %ud %uh
No daily sign-in event is running right now.	目前沒有進行中的每日簽到活動。
Reward claimed. Come back tomorrow!	獎勵已領取。明天再來！
You already claimed today's reward.	今日獎勵已領取過。
You completed this season's calendar.	本季簽到已全部完成。
Your level is below the event requirement.	等級未達活動需求。
Free up bag space to receive the reward.	請清理背包空間以領取獎勵。
The reward could not be claimed.	無法領取獎勵。
Claim the highlighted day first.	請先領取標示的日期。
COMPLETION PACK	完成禮包
