原文	填写中文
TMQ #%u	TMQ #%u
EXP: %u / %u	EXP: %u / %u
Critical Hit	暴击命中
Critical	暴击
Korin Forest	花梨森林
Dragon Radar	龙珠雷达
Yahoi West	西雅荷
Yahoi East	东雅荷
Yahoi Fort West	雅荷要塞西部
Yahoi Fort East	雅荷要塞东部
Westland	维斯特兰
Fear Land	奥所罗岛
Porunga Rocks North	波路亚巨石北部
Porunga Rocks South	波路亚巨石南部
Dragon Cave North	神龙峡谷北部
Dragon Cave South	神龙峡谷南部
Dragon Nose	龙鼾岩
Takarazuka Volcano Area	达卡拉部多火山地区
HoiPoi Mine	胶囊原石废矿
Red Ribbon HQ Ruins	红领巾军总部废墟
Red Pants HQ	红裤军总部
Aria Waterfall Cave	隐密瀑布洞窟
Splish Splash Sewer	噗通下水道
Fran Fran Desert North	法朗沙漠北部
Fran Fran Desert South	法朗沙漠南部
Papaya Island	番木瓜诸岛
Mushroom Rocks North	蘑菇巨石北部
Mushroom Rocks South	蘑菇巨石南部
Odd Box	奇怪的礼包
Vip Box	VIP 礼包
Newbie Box	新手礼包
Treasure Box	宝箱
Flying Move	舞空术移动
Flying Fast	舞空术快速
Learning Flight Quest	学习舞空术任务
Flight Accelerating	舞空术加速
Flight Training	舞空术训练
Wonder Majin placeholder	意魔人
