原文	填写中文
Dragon Molar Mountain Bus Stop	龍牙山公車站
Dragon Molar Mountain	龍牙山
Yahoi Fortress	雅荷要塞
Yahoi West	西雅荷
Yahoi East	東雅荷
Yahoi West News	西雅荷新聞
Yahoi West Champion	西雅荷冠軍
Yahoi Tomb Area	雅荷墓地區
Yahoi Snowfield	雅荷雪原
Yahoi Outside Area	雅荷外圍地區
Yahoi Oil Field Bus	雅荷油田巴士
Yahoi Maingate	雅荷大門
Yahoi Large Mushroom Specialty	雅荷大型蘑菇特產
Yahoi Inside Area	雅荷內部地區
Yahoi Ice Cave	雅荷冰穴
Yahoi History Book	雅荷歷史書
Yahoi Gateway	雅荷關口
Yahoi Gate	雅荷門
Yahoi Fortress West Entrance	雅荷要塞西入口
Yahoi Fortress West	雅荷要塞西
Yahoi Fortress Spy Robot Core	雅荷要塞間諜機器人核心
Yahoi Fortress South Gate	雅荷要塞南門
Yahoi Fortress South	雅荷要塞南
Yahoi Fortress Report	雅荷要塞報告
Yahoi Fortress Gate	雅荷要塞大門
Yahoi Fortress East Entrance	雅荷要塞東入口
Yahoi Fortress East	雅荷要塞東
Yahoi Excavated Material	雅荷挖掘材料
Yahoi Crater Area	雅荷隕石坑地區
Yahoi Crater	雅荷隕石坑
Yahoi Central Area	雅荷中央地區
Western Yahoi Spy Robot Core	西雅荷間諜機器人核心
