原文	填写中文
Ascend System	裝備進階
Place an equipment piece here to ascend it to the next rarity tier.	將一件裝備放在這裡，使其進階至下一稀少度。
Required Materials	所需材料
Materials	材料
Success Rate	成功率
Zeni	索尼
ASCEND	進階
Ascension succeeded!	進階成功！
Ascension failed. Success rate increased.	進階失敗，成功率已提升。
This item is already at the maximum rarity.	該裝備已達最高稀少度。
This item cannot be ascended (no recipe found).	該裝備無法進階（未找到配方）。
This item cannot be ascended right now.	該裝備目前無法進階。
Items must have the same rarity.	道具稀少度必須相同。
Paralyze	麻痺
Paralysis	麻痺
Terror	恐怖
Fear	恐怖
Confuse	混亂
Confusion	混亂
Stone	石化
Candy	糖果
Bleed	出血
Bleeding	出血
Stomach	腹痛
Burn	燃燒
麻痹	麻痺
恐懼	恐怖
胃部	腹痛
