原文	填写中文
Safari Leather	狩獵皮
Red Commander Goggles	紅色指揮官護目鏡
Mysterious Powder	神秘粉末
Physical Combination Package	物理組合禮包
Energy Combi Package	能量組合禮包
Powerful Combination Package A	強力組合禮包 A
Powerful Combination Package B	強力組合禮包 B
Gorgeous Combination Package A	華麗組合禮包 A
Gorgeous Combination Package B	華麗組合禮包 B
Novice Support Package [1] (LV1-30)	新手支援禮包［1］（LV1-30）
Novice Support Package [2] (LV1-30)	新手支援禮包［2］（LV1-30）
Novice Support Package [3] (LV1-30)	新手支援禮包［3］（LV1-30）
Novice Support Package [4] (LV1-30)	新手支援禮包［4］（LV1-30）
Advance Support Package [1] (LV31-50)	進階支援禮包［1］（LV31-50）
Advance Support Package [2] (LV31-50)	進階支援禮包［2］（LV31-50）
Advance Support Package [3] (LV31-50)	進階支援禮包［3］（LV31-50）
Advance Support Package [4] (LV31-50)	進階支援禮包［4］（LV31-50）
Summer Vacation Package (LV31-50)	暑假禮包（LV31-50）
Extra Practice Bundle	額外練習包
Mini Bunny Bus (Red)	迷你兔巴士（紅）
Mini Bunny Bus (Orange)	迷你兔巴士（橙）
Mini Bunny Bus (Purple)	迷你兔巴士（紫）
Mini Bunny Bus (Green)	迷你兔巴士（綠）
Silver Star No.8 [Emerald]	銀星 8 號［翡翠］
Silver Star No.8 [Ocean Blue]	銀星 8 號［海洋藍］
Silver Star No.8 [Coral]	銀星 8 號［珊瑚］
Silver Star No. 8 [Amber]	銀星 8 號［琥珀］
Self Revive Popo [20x]	自我復活波波［20 倍］
Party Popo [10x]	隊伍波波［10 倍］
Extra EXP Boost [2 Hours]	額外經驗加成［2 小時］
Dogi Property Ball [1x]	道服屬性球［1 個］
Dogi Property Ball [5x]	道服屬性球［5 個］
Autopot EP (100.000)	自動藥水 EP（100000）
Autopot EP (300.000)	自動藥水 EP（300000）
Autopot EP (500.000)	自動藥水 EP（500000）
Delicious Foie Gras Stew [30x]	美味鵝肝燉［30 倍］
Icy Grain Fruit [30x]	冰晶果［30 倍］
Clarity Potion [10x]	澄明藥水［10 倍］
Resurrection Popo (20x)	復活波波（20 倍）
BD Shield [5x]	BD 盾［5 個］
BD Shield [10x]	BD 盾［10 個］
Normal VP Recovery Potion [10x]	一般 VP 恢復藥水［10 倍］
Medium VP Recovery Potion [10x]	中級 VP 恢復藥水［10 倍］
Advanced VP Recovery Potion [10x]	高級 VP 恢復藥水［10 倍］
High VP Recovery Potion [10x]	高階 VP 恢復藥水［10 倍］
Spiritual Practice Card	精神修行卡
CC Life Agent S [20x]	CC 生命劑 S［20 倍］
CC Magic Agent S [20x]	CC 魔法劑 S［20 倍］
CC Life Agent M [20x]	CC 生命劑 M［20 倍］
CC Magic Agent M [20x]	CC 魔法劑 M［20 倍］
Energy Potion [10x]	能量藥水［10 倍］
Self Revive Popo [5x]	自我復活波波［5 倍］
Bunny Sunglasses	兔仔太陽眼鏡
Resurrection Popo [10x]	復活波波［10 倍］
Half Senzu Bean [10x]	半仙豆［10 倍］
Gold Gorgeous Chest	金色華麗箱
Challenger Football	挑戰者足球
Heart Football	心之足球
Peace Football	和平足球
Hope Football	希望足球
Assault Football	突擊足球
Flame Football	火焰足球
Master Shen Cap	神仙帽
Google	護目鏡
Devil's Horns	惡魔角
Delivery Ring [7 Days]	運送戒指［7 天］
Recharge Ring [7 Days]	充能戒指［7 天］
Platinum Chest	白金箱
Tobi Ninja War	帶土忍戰
Arale's Cap	阿拉蕾帽
Christmas Costume	聖誕服裝
King Yemma Hat	閻王帽
