原文	填写中文
You are no longer a Great Namek!	你已不再是巨大那美克！
%s is no longer a Great Namek!	%s 已不再是巨大那美克！
You are no longer a Evil Namek!	你已不再是邪惡那美克！
%s is no longer a Evil Namek!	%s 已不再是邪惡那美克！
You are no longer a Orange Namek!	你已不再是橙色那美克！
%s is no longer a Orange Namek!	%s 已不再是橙色那美克！
Kaio-Ken ended!	界王拳結束！
%s: Kaio-Ken stopped!	%s：界王拳結束！
You are no longer a Pure Majin!	你已不再是純粹魔人！
%s is no longer a Pure Majin!	%s 已不再是純粹魔人！
You are no longer a Super Boo!	你已不再是超級布歐！
%s is no longer a Super Boo!	%s 已不再是超級布歐！
You are no longer a Buuhan!	你已不再是布歐悟飯！
%s is no longer a Buuhan!	%s 已不再是布歐悟飯！
You are no longer a Super Saiyan!	你已不再是超級賽亞人！
%s is no longer a Super Saiyan!	%s 已不再是超級賽亞人！
You are no longer a Super Saiyan 2!	你已不再是超級賽亞人2！
%s is no longer a Super Saiyan 2!	%s 已不再是超級賽亞人2！
You are no longer a Super Saiyan 3!	你已不再是超級賽亞人3！
%s is no longer a Super Saiyan 3!	%s 已不再是超級賽亞人3！
You are no longer a Super Saiyan Blue!	你已不再是超級賽亞人藍！
%s is no longer a Super Saiyan Blue!	%s 已不再是超級賽亞人藍！
You are no longer a Super Saiyan 4!	你已不再是超級賽亞人4！
%s is no longer a Super Saiyan 4!	%s 已不再是超級賽亞人4！
You are no longer a Oozaru!	你已不再是大猿！
%s is no longer a Oozaru!	%s 已不再是大猿！
