原文	填写中文
Abdominal Pain Pill	腹痛藥丸
Great Abdominal Pain Pill	強效腹痛藥丸
Premium Abdominal Pain Pill	高級腹痛藥丸
Bacterian Smelly Fish Club	細菌人臭魚棍
Bacterian Chunk Trumpet	細菌人塊狀小號
Bacterian Spiked Claws	細菌人尖刺爪
Bacterian Chunk Staff	細菌人塊狀杖
Bacterian Slim Stick	細菌人細棍
Bacterian Belch Drum	細菌人打嗝鼓
Bacterian Heavy Axe	細菌人重斧
Bacterian Skull Gem	細菌人頭骨寶石
Bacterian Flat Fan	細菌人扁平扇
Super Buu (Gohan Absorbed)	超布歐（吸收悟飯）
Future Trunks Hair	未來特南克斯髮型
Completion Coin	完成幣
BD Rejoin Pass	武道大會再加入通行證
Chicken Dance	小雞舞
SJ Rose Hair	SJ 玫瑰髮型
Cyber Saiyan	賽博賽亞人
Raven Head	渡鴉頭
Mirko Head	Mirko 頭
Kraken Ring Remastered (A)!	海妖戒指重製版 (A)！
Kraken Ring Remastered (B)!	海妖戒指重製版 (B)！
Kraken Ring Remastered (C)!	海妖戒指重製版 (C)！
Kraken Ring Remastered (D)!	海妖戒指重製版 (D)！
Cell-X Remastered Earrings (A)!	賽爾 X 重製版耳環 (A)！
Cell-X Remastered Earrings (B)!	賽爾 X 重製版耳環 (B)！
Super Movie Brolly Clothes..	劇場版布羅利服裝
Beatiful Formal Clothes	華麗正式服裝
Formal Clothes for Woman.	女性正式服裝
Jia Tela Dragon Clothes (Top)	賈特拉龍族服裝（上衣）
Gordon Martial Clothes (Top)	戈登武道服裝（上衣）
Chillapeare Pearl Necklace	奇拉皮爾珍珠項鍊
Moori's Necklace	莫利的項鍊
Jenneu Earring	傑紐耳環
Jenin Earring	傑寧耳環
Korin Tower's Antique Earring	花梨塔古董耳環
Red Pants Army Military Rations	紅緞帶軍軍用口糧
Red Pants Army Superior Mineral Water	紅緞帶軍高級礦泉水
Disciple's Stone Symbol S	門徒石徽 S
Disciple's Stone Symbol M	門徒石徽 M
Disciple's Stone Symbol L	門徒石徽 L
