原文	填写中文
Account already exists.	帳號已存在。
Account is incorrect.	帳號未正确。
AP is consumed only during accelerated flying.\nIt regenerates while you fly slowly or while on ground.	AP只会在加速舞空时消耗。\n慢速舞空或在地面时会恢复。
Air mode failed.	舞空模式失败
Choose Server	選擇伺服器
Chat Server Notification	聊天伺服器公告
Dojo Account	道場帳號
Dojo Info	道場資訊
Duplicate Login.	重複登入。
Friend Login	好友登入
EXP gains disabled	经验取得已禁用
Flight requires at least 10AP.	舞空至少需要 10 AP。
Fly Spd:	舞空速度：
Game Information	游戏資訊
Guild Manager	流派登入所
Hero Info	英雄資訊
Info	資訊
Information	資訊
Insert upgrade Stone.	放入強化石。
Item Info	道具資訊
Item already Registered	无法登入已分解道具。
Loading Data...	正在读取資料...
Cannot open Mail or Auction House while in combat.	无法在战斗中打开郵件或拍卖行。
Mail and Auction House will close automatically when you enter combat.	进入战斗时，郵件和拍卖行会自动关闭。
Main Pet already registered.	该宠物已登入为主要使用。
Mascot Information	寵物資訊
Match Info	比赛資訊
Members Info	成员資訊
State Info	狀態資訊
Team State Info	團隊狀態資訊
Scenario Info	劇情資訊
DWC Info	DWC資訊
Upgrade Stone	強化石
Security Password	安全密碼
Password Screen	密碼畫面
The arena is not configured on this server.	此伺服器尚未配置竞技场。
[align = "center"]Connection Failed[br][br]Failed to connect to the chat server.[br][br]Please try again later.	[align = "center"]连接失败[br][br]连接聊天伺服器失败。[br][br]请稍后再试。
[align = "center"]Connection Failed[br][br]Unable to connect to the game server.[br][br]Please try again later.	[align = "center"]连接失败[br][br]无法连接到游戏伺服器。[br][br]请稍后再试。
[align = "center"]Server Selection[br][br]Please select a server.[br][br]Characters cannot move between servers.	[align = "center"]選擇伺服器[br][br]请選擇伺服器。[br][br]角色无法在伺服器之间移动。
[align = "center"]Notify[br][br]Server merge is upcoming[br][br]	[align = "center"]通知[br][br]伺服器即将合并[br][br]
[align = "center"]Choose a Channel to Login	[align = "center"]選擇频道到登入
[align = "center"][font size = "12" color="f4d762"]Account Creation Successful[/font]	[align = "center"][font size = "12" color="f4d762"]帳號建立成功[/font]
[align = "center"]Information Input[br][br]Enter anything.[br]Please try again later.	[align = "center"]資訊输入[br][br]你进入任何事。[br]请稍后再试。
Can't do that while flying.	无法在舞空时执行。
You can't fly right now.	目前无法舞空。
You can't fly during a fight.	战斗中无法舞空。
Your Pet needs the Mail Ring to do this.	你的宠物需要郵件戒指才能执行此操作。
Can't Mail Blacklisted User.	无法向黑名单使用者寄郵件。
Can't find table data.	未找到資料。
Data already exists.	資料已存在。
Data not found	未找到資料
Couldn't find mascot data	未找到吉祥物資料
Hide all quest information.	隐藏全部任务資訊。
Hide quest information.	隐藏任务資訊。
No User to Reply	没有可回复的使用者
Unregistered	未登入
Register to degrade target item	需登入欲分解的道具。
Only registered dye items.	仅可登入染剂道具。
Item already exists.	已登入于融合进化石。
