surface	file	id	source_text	source_hash	zh_cn	status	legacy_source	legacy_row	note
taiwan	table_text_all_data.rdf	3:7000215:0	Natsu Dragneel Outfit	707ef2c74936	纳兹灭龙外套	accepted	legacy/translations/overrides.tsv	6	
taiwan	table_text_all_data.rdf	3:70002150:0	Used by DragonSlayer Natsu, the son of a Dragon.	df12df04b912	纳兹灭龙外套，龙之子纳兹专用。	accepted	legacy/translations/overrides.tsv	7	
taiwan	table_text_all_data.rdf	3:7000231:0	Nika Smoke	886ab141960e	尼卡烟雾	accepted	legacy/translations/overrides.tsv	8	
taiwan	table_text_all_data.rdf	5:44982101:0	Krillin	a100b970f280	克林	accepted	legacy/translations/overrides.tsv	9	
taiwan	table_text_all_data.rdf	3:70002270:0	Featuring One Piece in EggHead	f0aa95cc3a50	以《海贼王》为主题的背饰	accepted	legacy/translations/overrides.tsv	10	
taiwan	table_text_all_data.rdf	3:99199921:0	军配团扇造型	17567f183446	宇智波团扇造型	accepted	legacy/translations/overrides.tsv	11	
taiwan	table_text_all_data.rdf	3:111704270:0	黑星龙珠	04db9cf51c05	六道求道玉	accepted	legacy/translations/overrides.tsv	12	
taiwan	table_text_all_data.rdf	8:621:0	真属性防御上升%d%%	de015e55c09a	冰属性防御上升%d%%	accepted	legacy/translations/overrides.tsv	13	
taiwan	table_text_all_data.rdf	8:622:0	奇属性防御上升%d%%	dc65fb30cce9	雷属性防御上升%d%%	accepted	legacy/translations/overrides.tsv	14	
taiwan	table_text_all_data.rdf	8:623:0	猛属性防御上升%d%%	19e5713f5e87	风属性防御上升%d%%	accepted	legacy/translations/overrides.tsv	15	
taiwan	table_text_all_data.rdf	8:624:0	丽属性防御上升%d%%	59afddef3e2d	水属性防御上升%d%%	accepted	legacy/translations/overrides.tsv	16	
taiwan	table_text_all_data.rdf	8:625:0	乐属性防御上升%d%%	997b9f1ff45e	火属性防御上升%d%%	accepted	legacy/translations/overrides.tsv	17	
taiwan	table_text_all_data.rdf	8:672:0	真属性攻击 %d%% 增加	e5d70a7f427a	冰属性攻击 %d%% 增加	accepted	legacy/translations/overrides.tsv	18	
taiwan	table_text_all_data.rdf	8:673:0	奇属性攻击 %d%% 增加	ed069756c3ca	雷属性攻击 %d%% 增加	accepted	legacy/translations/overrides.tsv	19	
taiwan	table_text_all_data.rdf	8:674:0	猛属性攻击 %d%% 增加	93a041ac7e03	风属性攻击 %d%% 增加	accepted	legacy/translations/overrides.tsv	20	
taiwan	table_text_all_data.rdf	8:675:0	丽属性攻击 %d%% 增加	5b3934e085ee	水属性攻击 %d%% 增加	accepted	legacy/translations/overrides.tsv	21	
taiwan	table_text_all_data.rdf	8:676:0	乐属性攻击 %d%% 增加	f65260d2cea5	火属性攻击 %d%% 增加	accepted	legacy/translations/overrides.tsv	22	
taiwan	table_text_all_data.rdf	8:826:0	真属性防御减少%d%%	7a0c1de1aea1	冰属性防御减少%d%%	accepted	legacy/translations/overrides.tsv	23	
taiwan	table_text_all_data.rdf	8:827:0	奇属性防御减少%d%%	fc200e887bb4	雷属性防御减少%d%%	accepted	legacy/translations/overrides.tsv	24	
taiwan	table_text_all_data.rdf	8:828:0	猛属性防御减少%d%%	b9678a6a42a7	风属性防御减少%d%%	accepted	legacy/translations/overrides.tsv	25	
taiwan	table_text_all_data.rdf	8:829:0	丽属性防御减少%d%%	23448fe15a2a	水属性防御减少%d%%	accepted	legacy/translations/overrides.tsv	26	
taiwan	table_text_all_data.rdf	8:830:0	乐属性防御减少%d%%	df8892276da0	火属性防御减少%d%%	accepted	legacy/translations/overrides.tsv	27	
taiwan	table_text_all_data.rdf	8:62101:0	真属性防御上升(%)	e1db2d60e7ca	冰属性防御上升(%)	accepted	legacy/translations/overrides.tsv	28	
taiwan	table_text_all_data.rdf	8:62201:0	奇属性防御上升(%)	075e57a18fee	雷属性防御上升(%)	accepted	legacy/translations/overrides.tsv	29	
taiwan	table_text_all_data.rdf	8:62301:0	猛属性防御上升(%)	05b1e44eb25d	风属性防御上升(%)	accepted	legacy/translations/overrides.tsv	30	
taiwan	table_text_all_data.rdf	8:62401:0	丽属性防御上升(%)	f42f170f3bea	水属性防御上升(%)	accepted	legacy/translations/overrides.tsv	31	
taiwan	table_text_all_data.rdf	8:62501:0	乐属性防御上升(%)	1479e02bf811	火属性防御上升(%)	accepted	legacy/translations/overrides.tsv	32	
taiwan	table_text_all_data.rdf	8:67201:0	增加真属性防御(%)	f7472a039c36	增加冰属性防御(%)	accepted	legacy/translations/overrides.tsv	33	
taiwan	table_text_all_data.rdf	8:67301:0	增加奇属性攻击(%)	d614e9082946	增加雷属性攻击(%)	accepted	legacy/translations/overrides.tsv	34	
taiwan	table_text_all_data.rdf	8:67401:0	增加猛属性攻击(%)	ed1c2f22b8b4	增加风属性攻击(%)	accepted	legacy/translations/overrides.tsv	35	
taiwan	table_text_all_data.rdf	8:67501:0	增加丽属性攻击(%)	729588556273	增加水属性攻击(%)	accepted	legacy/translations/overrides.tsv	36	
taiwan	table_text_all_data.rdf	8:67601:0	增加要属性攻击(%)	34f49cf02c63	增加火属性攻击(%)	accepted	legacy/translations/overrides.tsv	37	
taiwan	table_text_all_data.rdf	8:62100000:0	真属性防御上升 %s。	664a4f4e87f2	冰属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	38	
taiwan	table_text_all_data.rdf	8:62100001:0	的真属性防御上升 %s。	372e9dbb350a	的冰属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	39	
taiwan	table_text_all_data.rdf	8:62200000:0	奇属性防御上升 %s。	21d837dfd4ef	雷属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	40	
taiwan	table_text_all_data.rdf	8:62200001:0	的奇属性防御上升 %s。	5f01541e0c46	的雷属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	41	
taiwan	table_text_all_data.rdf	8:62300000:0	猛属性防御上升 %s。	803036fecd3d	风属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	42	
taiwan	table_text_all_data.rdf	8:62300001:0	的猛属性防御上升 %s。	a4850644b05f	的风属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	43	
taiwan	table_text_all_data.rdf	8:62400000:0	丽属性防御上升 %s。	587240d6bd9d	水属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	44	
taiwan	table_text_all_data.rdf	8:62400001:0	的丽属性防御上升 %s。	a8cf3b505e45	的水属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	45	
taiwan	table_text_all_data.rdf	8:62500000:0	乐属性防御上升 %s。	48be48f617f0	火属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	46	
taiwan	table_text_all_data.rdf	8:62500001:0	的乐属性防御上升 %s。	918510f6af54	的火属性防御上升 %s。	accepted	legacy/translations/overrides.tsv	47	
taiwan	table_text_all_data.rdf	8:67200000:0	真属性攻击增加 %s。	a7223a4546b9	冰属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	48	
taiwan	table_text_all_data.rdf	8:67200001:0	的真属性攻击增加 %s。	81a4f7752d32	的冰属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	49	
taiwan	table_text_all_data.rdf	8:67300000:0	奇属性攻击增加 %s。	a86a9fdd7de8	雷属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	50	
taiwan	table_text_all_data.rdf	8:67300001:0	的奇属性攻击增加 %s。	bf6cbf847d00	的雷属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	51	
taiwan	table_text_all_data.rdf	8:67400000:0	猛属性攻击增加 %s。	96018667e932	风属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	52	
taiwan	table_text_all_data.rdf	8:67400001:0	的猛属性攻击增加 %s。	8444b48f71a1	的风属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	53	
taiwan	table_text_all_data.rdf	8:67500000:0	丽属性攻击增加 %s。	e28b292d07f4	水属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	54	
taiwan	table_text_all_data.rdf	8:67500001:0	的丽属性攻击增加 %s。	8570863c49fd	的水属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	55	
taiwan	table_text_all_data.rdf	8:67600000:0	乐属性攻击增加 %s。	7eeb66e12d44	火属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	56	
taiwan	table_text_all_data.rdf	8:67600001:0	的乐属性攻击增加 %s。	1011b591cb5f	的火属性攻击增加 %s。	accepted	legacy/translations/overrides.tsv	57	
taiwan	table_text_all_data.rdf	8:82600000:0	真属性防御减少 %s。	1817e079a0db	冰属性防御减少 %s。	accepted	legacy/translations/overrides.tsv	58	
taiwan	table_text_all_data.rdf	8:82600001:0	的真属性防御减少 %s。	b7891094e5f5	的冰属性防御减少 %s。	accepted	legacy/translations/overrides.tsv	59	
taiwan	table_text_all_data.rdf	8:82700000:0	奇属性防御减少 %s。	e5fc742b08f8	雷属性防御减少 %s。	accepted	legacy/translations/overrides.tsv	60	
taiwan	table_text_all_data.rdf	8:82700001:0	的奇属性防御减少  %s。	f49c5664c9f0	的雷属性防御减少  %s。	accepted	legacy/translations/overrides.tsv	61	
taiwan	table_text_all_data.rdf	8:82800000:0	猛性防御减少  %s。	6eabf76a8595	风属性防御减少  %s。	accepted	legacy/translations/overrides.tsv	62	
taiwan	table_text_all_data.rdf	8:82800001:0	的猛属性防御减少  %s。	9c4aa469d0d2	的风属性防御减少  %s。	accepted	legacy/translations/overrides.tsv	63	
taiwan	table_text_all_data.rdf	8:82900000:0	丽属性防御减少  %s。	52b0f990f52a	水属性防御减少  %s。	accepted	legacy/translations/overrides.tsv	64	
taiwan	table_text_all_data.rdf	8:82900001:0	的丽属性防御减少  %s。	5b6f116a0301	的水属性防御减少  %s。	accepted	legacy/translations/overrides.tsv	65	
taiwan	table_text_all_data.rdf	8:83000000:0	乐属性防御减少 %s。	037efe62a45e	火属性防御减少 %s。	accepted	legacy/translations/overrides.tsv	66	
taiwan	table_text_all_data.rdf	8:83000001:0	的乐属性防御减少  %s。	dac3c9658867	的火属性防御减少  %s。	accepted	legacy/translations/overrides.tsv	67	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_NAMEK	[Usable while in Evil Namek form]	14c6e1e89291	[邪恶那美克星人形态下可使用]	accepted	legacy/translations/overrides.tsv	68	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_BOO	[Usable while in Super Boo form]	36d4fbaeb75b	[超级布欧形态下可使用]	accepted	legacy/translations/overrides.tsv	69	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANBLUE	[Usable while in Super Saiyan Blue form]	36ea8afeaf22	[超级赛亚人蓝色形态下可使用]	accepted	legacy/translations/overrides.tsv	70	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN33	[Usable while in Super Saiyan 3 form]	c44d4ff7e569	[超级赛亚人3形态下可使用]	accepted	legacy/translations/overrides.tsv	71	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN3	[Usable while in Super Saiyan God form]	7b440a63a68a	[超级赛亚人之神形态下可使用]	accepted	legacy/translations/overrides.tsv	72	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN	[Usable while in Buuhan Skin form]	bfc2a9ef0db4	[布欧悟饭皮肤形态下可使用]	accepted	legacy/translations/overrides.tsv	73	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN4	[Usable while in Super Saiyan 4 form]	9adec24fa5e3	[超级赛亚人4形态下可使用]	accepted	legacy/translations/overrides.tsv	74	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO	[Usable while in Buuhan form]	cab6236a5e67	[布欧悟饭形态下可使用]	accepted	legacy/translations/overrides.tsv	75	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN2	[Usable while in Buuhan Skin 2 form]	c61386085fdc	[布欧悟饭皮肤2形态下可使用]	accepted	legacy/translations/overrides.tsv	76	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_ORANGE	[Usable while in Great Orange form]	f39c48446fa9	[巨大橙色形态下可使用]	accepted	legacy/translations/overrides.tsv	77	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_DARK_NAMEK	[Usable while in Dark Namek form]	4b624c9ee171	[黑暗那美克星人形态下可使用]	accepted	legacy/translations/overrides.tsv	78	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_FIS	[Usable while in Gotenks Boo Fighter form]	99e115f30a5e	[悟天克斯布欧格斗形态下可使用]	accepted	legacy/translations/overrides.tsv	79	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_MAG	[Usable while in Gotenks Boo Mystic form]	f467c3d5e114	[悟天克斯布欧秘术形态下可使用]	accepted	legacy/translations/overrides.tsv	80	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANROSE	[Usable while in Super Saiyan Rose form]	b723510b5e20	[超级赛亚人桃红形态下可使用]	accepted	legacy/translations/overrides.tsv	81	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MYSTIC_MAJIN	[Usable while in Mystic Majin form]	4ffefebb139f	[神秘魔人形态下可使用]	accepted	legacy/translations/overrides.tsv	82	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO2	[Usable while in Super Boo 2 form]	b3b5f2c1efd7	[超级布欧2形态下可使用]	accepted	legacy/translations/overrides.tsv	83	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN2	[Usable while in Super Saiyan 2 form]	2aa26571b6bc	[超级赛亚人2形态下可使用]	accepted	legacy/translations/overrides.tsv	84	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANL	[Usable while in Super Saiyan Legendary form]	529e78dc0d52	[传说超级赛亚人形态下可使用]	accepted	legacy/translations/overrides.tsv	85	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BIG_MONKEY	[Usable while in Oozaru form]	c4fa5cae2ec3	[大猿形态下可使用]	accepted	legacy/translations/overrides.tsv	86	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KING_NAMEK	[Usable while in Orange Namek form]	d94a9ecc5273	[橙色那美克星人形态下可使用]	accepted	legacy/translations/overrides.tsv	87	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANMAJIN	[Usable while in Majin Super Saiyan form]	74c8d536e979	[魔人超级赛亚人形态下可使用]	accepted	legacy/translations/overrides.tsv	89	
taiwan	local_data.dat	DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANNAMEK	[Usable while in Namek Super Saiyan form]	b30cf6e00e9e	[那美克超级赛亚人形态下可使用]	accepted	legacy/translations/overrides.tsv	90	
taiwan	local_sync_data.dat	GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN2	CNTEST_LS_004	e7228e7e4db1	超级赛亚人2形态下不能使用技能。	accepted	legacy/translations/overrides.tsv	92	
taiwan	local_sync_data.dat	GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO2	CNTEST_LS_005	7c00a378eb3d	超级布欧2形态下不能使用技能。	accepted	legacy/translations/overrides.tsv	93	
taiwan	local_sync_data.dat	GAME_SKILL_CANT_USE_SKILL_WHEN_KING_NAMEK	CNTEST_LS_006	5e34fa669c6c	橙色那美克星人形态下不能使用技能。	accepted	legacy/translations/overrides.tsv	94	
taiwan	local_sync_data.dat	GAME_CANNOT_TOGGLE_AURA_WITH_KAIOKEN	CNTEST_LS_007	7846001f4b8f	界王拳状态下不能切换气场。	accepted	legacy/translations/overrides.tsv	95	
taiwan	local_sync_data.dat	GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANBLUE	CNTEST_LS_008	d398600280e2	超级赛亚人蓝色形态下不能使用技能。	accepted	legacy/translations/overrides.tsv	96	
taiwan	local_sync_data.dat	GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO	CNTEST_LS_010	a19d0674fe75	布欧悟饭形态下不能使用技能。	accepted	legacy/translations/overrides.tsv	97	
taiwan	table_text_all_data.rdf	3:1510120:0	Super Saiyan Blue	e3d83892aa72	超级赛亚人蓝色	accepted	legacy/translations/overrides.tsv	98	
taiwan	table_text_all_data.rdf	7:1510120:0	Super Saiyan Blue	e3d83892aa72	超级赛亚人蓝色	accepted	legacy/translations/overrides.tsv	99	
taiwan	local_data.dat	GAME_SKILL_NOT_READY_TO_BE_CAST	Skill is still on cooldown.	f78a958acb75	技能仍在冷却中。	accepted	legacy/translations/overrides.tsv	100	
taiwan	local_sync_data.dat	GAME_SKILL_NOT_READY_TO_BE_CAST	Skill is still on cooldown.	f78a958acb75	技能仍在冷却中。	accepted	legacy/translations/overrides.tsv	101	
taiwan	local_data.dat	DST_SCS_LOGIN_ALERT	"[align = """"center""""][font size = """"12"""" color=""""f4d762""""]Bot Check Required[/font][br][br][font size = """"9"""" color=""""ffffff""""]To receive experience and item drops,[br]you must complete the Bot Verification.[br][br]Complete it once for 1 hour of immunity![/font]"	02067bb78321	"[align = """"center""""][font size = """"12"""" color=""""f4d762""""]需要机器人验证[/font][br][br][font size = """"9"""" color=""""ffffff""""]若要获得经验和物品掉落，[br]必须完成机器人验证。[br][br]完成一次后可获得1小时免验证时间！[/font]"	accepted	legacy/translations/overrides.tsv	104	
taiwan	local_data.dat	GAME_SCS_CHECK_FAIL	Verification failed.	a1be62161fb3	验证失败。	accepted	legacy/translations/overrides.tsv	105	
taiwan	local_data.dat	DST_BATTLEATTR_ATTACK_RATE_TARGET	属性防御 攻击力增加 %.0f%%	fccd8950f1c8	属性攻击力增加 %.0f%%	accepted	legacy/translations/overrides.tsv	108	
taiwan	local_data.dat	DST_BATTLEATTR_DEFENCE_RATE_TARGET	属性攻击 防御力增加 %.0f%%	2c54e5d8ecf4	属性防御力增加 %.0f%%	accepted	legacy/translations/overrides.tsv	109	
taiwan	local_data.dat	DST_MAILSYSTEM_TOOLTIP_RECEIVE_ALL	Receive items and Zeni from eligible mail (up to 6 per use, 15s cooldown).	f3ab123119b0	从符合条件的邮件领取道具和索尼（每次最多6封，冷却15秒）。	accepted	legacy/translations/overrides.tsv	112	
taiwan	local_data.dat	DST_MAILSYSTEM_TOOLTIP_DELETE_RESOLVED	Delete resolved mail in batches of 6.	4570d66a7063	批量删除已处理邮件，每次最多6封。	accepted	legacy/translations/overrides.tsv	113	
taiwan	local_data.dat	DST_MAILSYSTEM_MSG_RECEIVE_ALL_COOLDOWN	Please wait 15 seconds before trying again.	06759fe52750	请等待15秒后再试。	accepted	legacy/translations/overrides.tsv	114	
