原文	填写中文
(Dragon) Potion White Namek	（龍族）白色那美克藥水
(Might) Potion SaibaMajin	（大魔人）栽培人魔藥水
(Sem Uso)Shadow Star Material	（未使用）暗影之星材料
(Warrior) Potion White Namek	（戰士）白色那美克藥水
(Wonder) Potion SaibaMajin	（意魔人）栽培人魔藥水
3K CASH	3000 現金點
A Upgrade Stone U90	防具強化石 U90
AJIN FULL 3P	魔人完整 3P
AMEK 3P FULL	那美克 3P 完整
ANSS Angel	天使 SS
ANSS Priest	祭司 SS
ANSS Zenoo	Zenoo SS
AOT Dogi	進擊之道服
ATSU HAIR	ATSU 髮型
Adamantine Staff	金剛杖
Akeno Dogi	朱音道服
Awards25	獎勵 25
AxeSS Hakai90	破壞斧 SS90
BAK FIRE	火焰 BAK
BLUE Martial	藍色武道
BUG TOON	BUG 卡通
BUG TOON 10	BUG 卡通 10
BUG TOON 4	BUG 卡通 4
BUG TOON 5	BUG 卡通 5
BUG TOON 6	BUG 卡通 6
BUG TOON 7	BUG 卡通 7
BUG TOON 8	BUG 卡通 8
BUG TOON 9	BUG 卡通 9
Bip01 Head	Bip01 頭部
Blue Espiritualista	藍色氣功師
Branca 80	白色 80
Bucecoelha	潛水兔
CC 150 Hell Pass	CC 150 地獄通行證
CC F32	CC F32
CC F35	CC F35
CHIP CD	冷卻晶片
CHIP CON	體質晶片
CHIP PROP	道具晶片
CHIP RL GY	RL GY 晶片
CHIP RL PY	RL PY 晶片
CIPE BLUE	藍色 CIPE
CIPE RED	紅色 CIPE
Caliban El Fantasma Azul	卡利班・藍色幽靈
Caliban El Fantasma Blanco	卡利班・白色幽靈
Caliban El Fantasma Rojo	卡利班・紅色幽靈
Caliban El Fantasma Verde	卡利班・綠色幽靈
Caliban El Fantasma Violeta	卡利班・紫色幽靈
Candy_DarkSouls HAKAI	糖・黑暗靈魂 破壞
Candy_ShadowSovereign DIVINE	糖・暗影君主 神聖
Candy_ShadowSovereign HAKAI	糖・暗影君主 破壞
Certificate	證書
Change Gender	變更性別
Change Sex	變更性別
Christmas Seiya	聖誕星矢
ClawSS Hakai90	破壞爪 SS90
ClubSS Hakai90	破壞棍 SS90
DARA HAIR	DARA 髮型
DivineFrag	神聖碎片
DivineFragAccessory	神聖飾品碎片
Donaterszero	贊助者 Zero
Downgrade Armor 85	降級防具 85
Dragon Cla Form	龍族形態
DrumsSS Hakai90	破壞鼓 SS90
Drums_DarkSouls HAKAI	鼓・黑暗靈魂 破壞
Drums_ShadowSovereign DIVINE	鼓・暗影君主 神聖
Drums_ShadowSovereign HAKAI	鼓・暗影君主 破壞
E Pa003	E Pa003
E Pa004	E Pa004
EV CC	活動 CC
EV RP	活動 RP
EarNeckHakai	破壞耳環項鍊
FANSS HAKAI90	破壞扇 SS90
FAN_DarkSouls HAKAI	扇・黑暗靈魂 破壞
FAN_ShadowSovereign DIVINE	扇・暗影君主 神聖
FAN_ShadowSovereign HAKAI	扇・暗影君主 破壞
FOC Energy	專注・能量
FOC Physical	專注・物理
Firestormawk	火風暴覺醒
Flexarot Lv1	弗萊薩洛特 Lv1
Flexarot Lv2	弗萊薩洛特 Lv2
Flexarot Lv3	弗萊薩洛特 Lv3
Flexarot Lv4	弗萊薩洛特 Lv4
Founder01	創始人 01
Founder02	創始人 02
GM Only Item	GM 專用道具
GUN EN	槍・能量
GemSS Hakai90	破壞寶石 SS90
Godofdestructionawk	破壞神覺醒
HM_HAKAI_90	人類破壞 90
Hakai Ascend Kit	破壞進階套件
HakaiAscendKit	破壞進階套件
HakaiFrag	破壞碎片
HakaiFragAccessory	破壞飾品碎片
Harley	哈雷
ICHI B	ICHI B
IDEL B	IDEL B
Imperator	帝王
Kagune Bak	赫子 BAK
Kubikiribocho Executioners Blade	斷頭斬・處刑刀
Lightningstormawk	雷風暴覺醒
Lower Rank Dogi Stone	低階道服石
Lower Rank Dogi Stone (Recipe)	低階道服石（配方）
MJ_HAKAI_90	魔人破壞 90
MaskSS Hakai90	破壞面具 SS90
Mirko Body	米爾柯身體
Morado	莫拉多
NBUG TOON	NBUG 卡通
NEW HAIR	新髮型
NEW HAIR S	新髮型 S
NM_HAKAI_90	那美克破壞 90
Nika Bak	尼卡 BAK
OVOS BOSS	OVOS BOSS
OVOS BOSS2	OVOS BOSS2
OVOS BOSS3	OVOS BOSS3
OVOS BOSS4	OVOS BOSS4
P Pa003	P Pa003
POT EP	EP 藥水
POT LP	LP 藥水
PZ Core	PZ 核心
PZ Essence	PZ 精華
PZ HakaiCrystal	PZ 破壞水晶
PZ HakaiShard	PZ 破壞碎片
Po Misterioso (Teste)	神秘藥水（測試）
RING FULY	完整戒指
Raphtalia	拉芙塔莉雅
Raven Body	烏鴉身體
SJ2 Martial	SJ2 武道
SS Angel	SS 天使
SS Priest	SS 祭司
SS Zenoo	SS Zenoo
SSEG-Hakai90	SS 能量槍 破壞90
SSPY-Hakai90	SS 體力 破壞90
SSStaff-Hakai90	SS 杖 破壞90
Saiyan Tail	賽亞人尾巴
ScrollSS Hakai90	破壞卷軸 SS90
Set90_Armor_Hakai_Full_Def	90套裝・破壞防具・全防
Set90_Armor_Hakai_Semi_LP	90套裝・破壞防具・半LP
Set90_Wpn_Magic_Hakai	90套裝・破壞魔法武器
Set90_Wpn_Phys_Hakai	90套裝・破壞物理武器
Set90_Wpn_Staff_Hakai	90套裝・破壞杖
Shadow SovereignA-H-Divine	暗影君主A-人-神聖
Shadow SovereignA-H-Hakai	暗影君主A-人-破壞
Shadow SovereignA-M-Divine	暗影君主A-魔-神聖
Shadow SovereignA-M-Hakai	暗影君主A-魔-破壞
Shadow SovereignA-N-Divine	暗影君主A-那-神聖
Shadow SovereignA-N-Hakai	暗影君主A-那-破壞
Shadow SovereignB-H-Divine	暗影君主B-人-神聖
Shadow SovereignB-H-Hakai	暗影君主B-人-破壞
Shadow SovereignB-M-Divine	暗影君主B-魔-神聖
Shadow SovereignB-M-Hakai	暗影君主B-魔-破壞
Shadow SovereignB-N-Divine	暗影君主B-那-神聖
Shadow SovereignB-N-Hakai	暗影君主B-那-破壞
Shadow SovereignG-EG-Divine	暗影君主G-EG-神聖
Shadow SovereignG-EG-Hakai	暗影君主G-EG-破壞
Shadow SovereignG-PY-Divine	暗影君主G-PY-神聖
Shadow SovereignG-PY-Hakai	暗影君主G-PY-破壞
Shadow SovereignP-H-Divine	暗影君主P-人-神聖
Shadow SovereignP-H-Hakai	暗影君主P-人-破壞
Shadow SovereignP-M-Divine	暗影君主P-魔-神聖
Shadow SovereignP-M-Hakai	暗影君主P-魔-破壞
Shadow SovereignP-N-Divine	暗影君主P-那-神聖
Shadow SovereignP-N-Hakai	暗影君主P-那-破壞
Shadow SovereignStaff-Divine	暗影君主杖・神聖
Shadow SovereignStaff-Hakai	暗影君主杖・破壞
Soul Force EG	靈魂力 EG
Soul Force EG2	靈魂力 EG2
Soul Force EG3	靈魂力 EG3
Soul Force EG4	靈魂力 EG4
Soul Force Py	靈魂力 Py
Soul Force Py2	靈魂力 Py2
Soul Force Py3	靈魂力 Py3
Soul Force Py4	靈魂力 Py4
Spinning Star	旋轉之星
StickSS HAKAI90	破壞棍 SS90
Stick_DarkSouls HAKAI	棍・黑暗靈魂 破壞
Stick_ShadowSovereign DIVINE	棍・暗影君主 神聖
Stick_ShadowSovereign HAKAI	棍・暗影君主 破壞
Subaru	斯巴魯
SwordSS Hakai90	破壞劍 SS90
Sword_DarkSouls HAKAI	劍・黑暗靈魂 破壞
Sword_ShadowSovereign DIVINE	劍・暗影君主 神聖
Sword_ShadowSovereign HAKAI	劍・暗影君主 破壞
TANK EP 2000000	坦 EP 2000000
TANK LP 2000000	坦 LP 2000000
TBUG TOON	TBUG 卡通
TBUG TOON 2	TBUG 卡通 2
TIAL SS4Daima	SS4 大魔
TYPE-BB (2P)	TYPE-BB（2P）
Tessaiga	鐵碎牙
Thriller Dance	驚悚之舞
To Be Retextured	待重貼圖
Triple-Bladed Scythe	三刃鐮刀
TrumpetSS Hakai90	破壞號 SS90
Trumpet_Darksouls HAKAI	號・黑暗靈魂 破壞
Trumpet_ShadowSovereign DIVINE	號・暗影君主 神聖
Trumpet_ShadowSovereign HAKAI	號・暗影君主 破壞
UD Shop	UD 商店
UD4 Coin	UD4 硬幣
UD5 Coin	UD5 硬幣
UNKS XENO	未知異次元
VIP Access 30Days	VIP 通行 30 天
Venonstormawk	毒風暴覺醒
W Upgrade Stone U90	武器強化石 U90
WBossV2 B Type DIVINE	世界BOSS V2 B 神聖
WandSS Hakai90	破壞魔杖 SS90
Wand_ShadowSovereign DIVINE	魔杖・暗影君主 神聖
Wand_ShadowSovereign HAKAI	魔杖・暗影君主 破壞
Wand_darkSouls HAKAI	魔杖・黑暗靈魂 破壞
Warrior form	戰士形態
WbossV2 A Type DIVINE	世界BOSS V2 A 神聖
WbossV2 Type A DIVINE	世界BOSS V2 Type A 神聖
WbossV2 Type B DIVINE	世界BOSS V2 Type B 神聖
White Stone U90	白石 U90
Xmasevent	聖誕活動
ZBUG TOON 3	ZBUG 卡通 3
Zero One	Zero One
Zoro Body	索隆身體
AxeSS Hakai90	破壞斧 SS90
ClawSS Hakai90	破壞爪 SS90
ClubSS Hakai90	破壞棍 SS90
DrumsSS Hakai90	破壞鼓 SS90
FANSS HAKAI90	破壞扇 SS90
GemSS Hakai90	破壞寶石 SS90
MaskSS Hakai90	破壞面具 SS90
ScrollSS Hakai90	破壞卷軸 SS90
SwordSS Hakai90	破壞劍 SS90
StickSS HAKAI90	破壞棍 SS90
TrumpetSS Hakai90	破壞號 SS90
WandSS Hakai90	破壞魔杖 SS90
Hakai Ascend Kit	破壞進階套件
HakaiAscendKit	破壞進階套件
HakaiFrag	破壞碎片
HakaiFragAccessory	破壞飾品碎片
EarNeckHakai	破壞耳環項鍊
DivineFrag	神聖碎片
DivineFragAccessory	神聖飾品碎片
PZ Core	PZ 核心
PZ Essence	PZ 精華
PZ HakaiCrystal	PZ 破壞水晶
PZ HakaiShard	PZ 破壞碎片
HM_HAKAI_90	人類破壞 90
MJ_HAKAI_90	魔人破壞 90
NM_HAKAI_90	那美克破壞 90
Set90_Armor_Hakai_Full_Def	90套裝・破壞防具・全防
Set90_Armor_Hakai_Semi_LP	90套裝・破壞防具・半LP
Set90_Wpn_Magic_Hakai	90套裝・破壞魔法武器
Set90_Wpn_Phys_Hakai	90套裝・破壞物理武器
Set90_Wpn_Staff_Hakai	90套裝・破壞杖
A Upgrade Stone U90	防具強化石 U90
W Upgrade Stone U90	武器強化石 U90
White Stone U90	白石 U90
Lower Rank Dogi Stone	低階道服石
Lower Rank Dogi Stone (Recipe)	低階道服石（配方）
Change Gender	變更性別
Change Sex	變更性別
Certificate	證書
Adamantine Staff	金剛杖
Saiyan Tail	賽亞人尾巴
3K CASH	3000 現金點
VIP Access 30Days	VIP 通行 30 天
Caliban El Fantasma Azul	卡利班・藍色幽靈
Caliban El Fantasma Blanco	卡利班・白色幽靈
Caliban El Fantasma Rojo	卡利班・紅色幽靈
Caliban El Fantasma Verde	卡利班・綠色幽靈
Caliban El Fantasma Violeta	卡利班・紫色幽靈
NEW HAIR	新髮型
NEW HAIR S	新髮型 S
