原文	填写中文
Age 1000	Age 1000年
Monster emerges	怪物出现
Penalty: %d remain	惩罚：剩余 %d
Mudosa currently unavailable.	武道寺目前无法使用。
HoiPoi prevent destruction	胶囊防爆
Successfully exchanged.	兑换成功。
Total: %u I, %u W, %u L	总计：%u 局，%u 胜，%u 负
Abandoned: %s	已放弃：%s
Mastered: %s	已精通：%s
%dW %dL %dD	%d胜 %d负 %d平
%.0f%% Loss	%.0f%% 损失
Repairs: %u	修理：%u
+%u(+%u)EXP	＋%u（＋%u）经验
Visited: %s	已拜访：%s
Lv. %d ~ %d	Lv. %d ～ %d
Lv.%d - %d	Lv.%d － %d
Signed: %s	署名：%s
Range: %dM	范围：%dM
Mudosa: %d	武道寺：%d
%d Streak	%d 连胜
assigned	已指定
LFG: %s	LFG：%s
%s: %s +%d EP.	%s：%s ＋%d EP。
%s: %s +%d LP.	%s：%s ＋%d LP。
Hide Hit Texture Effects	隐藏受击贴图特效
This guild passive is already at max level.	此公会被动已达最高等级。
Not enough guild passive points available.	公会被动点数不足。
Guild passive upgrade already in progress.	公会被动升级进行中。
Guild passives reset. %d points returned.	公会被动已重置。返还 %d 点。
Upgrade the required guild passive first.	请先升级所需的公会被动。
Guild passive reset already in progress.	公会被动重置进行中。
Guild passive reset is on cooldown.	公会被动重置冷却中。
No guild passive points to reset.	没有可重置的公会被动点数。
Points: %d / %d  (Available: %d)	点数：%d／%d（可用：%d）
%s upgraded a guild passive.	%s 升级了公会被动。
Not enough guild reputation.	公会声望不足。
Cost: %u rep + %u zeni	消耗：%u 声望 ＋ %u 索尼
Reset available in: %s	重置可用时间：%s
Invalid guild passive.	无效的公会被动。
No points to reset	没有可重置的点数
Max level reached	已达最高等级
Reputation:	声望：
Inspect Others	查看他人
Avoid Inspect	防查看
Maxium Coupons	最大兑换券
%s Unlearned	%s 已遗忘
Toggle Buffs	切换增益
%s Recorded	%s 已记录
Mech Maniac	机械狂热者
Web Payment	网页支付
Exhibitors	参展者
Consumable	消耗品
Unlock EXP	解锁经验
Permanent	永久
Shortcuts	快捷方式
Contents	目录
Receiver	接收者
Paralyze	麻痹
Passives	被动
Revealer	揭示者
PvP Zone	PvP 区域
%s Fled	%s 已逃跑
Uncommon	非普通
%s Updated ( %d / %d )	%s 已更新（ %d／%d ）
Predicts:%d%% Accuracy	预测：%d%% 命中率
Gain (%u) EXP.	获得（%u）经验。
%d Rep	%d 声望
Hides hit visuals on all targets (PC, mob, NPC): impact flash (GME), word text (BASH, etc.) and Miss/Critical/Block popups. Damage numbers and hit sounds remain. Click  to apply.	隐藏所有目标（玩家、怪物、NPC）的受击画面：冲击闪光（GME）、文字（BASH 等）以及未击中／暴击命中／格挡弹出。伤害数字与受击音效保留。点击后套用。
[align = "center"][font size = "12" color="f4d762"]Reset Guild Passives[/font][br][br][font size = "10" color="ffffff"]Reputation: %u[br]Zeni: %u[br]Points returned: %d[/font][br][br][font size = "10" color="ff6666"]Spent rep/zeni is NOT refunded.[br]Confirm reset?[/font]	[align = "center"][font size = "12" color="f4d762"]重置公会被动[/font][br][br][font size = "10" color="ffffff"]声望：%u[br]索尼：%u[br]返还点数：%d[/font][br][br][font size = "10" color="ff6666"]已消耗的声望／索尼不予退还。[br]确认重置？[/font]
[align = "center"][font size = "12" color="f4d762"]Upgrade Guild Passive[/font][br][br][font size = "10" color="269eff"]%s[/font][br][br][font size = "10" color="ffffff"]Reputation: %u[br]Zeni: %u[/font][br][br][font size = "10" color="ffffff"]Confirm upgrade?[/font]	[align = "center"][font size = "12" color="f4d762"]升级公会被动[/font][br][br][font size = "10" color="269eff"]%s[/font][br][br][font size = "10" color="ffffff"]声望：%u[br]索尼：%u[/font][br][br][font size = "10" color="ffffff"]确认升级？[/font]
An evolution of the Third Turquoise Dragon Soul. It shines like a Warrior Soul.	绿松石龙魂第三阶段的进化。如战士之魂般闪耀。
An evolution of the Third Universal Dragon Soul. It shines like a Warrior Soul.	宇宙龙魂第三阶段的进化。如战士之魂般闪耀。
An evolution of the Third Fluorite Dragon Soul. It shines like a Warrior Soul.	萤石龙魂第三阶段的进化。如战士之魂般闪耀。
An evolution of the Third Emerald Dragon Soul. It shines like a Warrior Soul.	翡翠龙魂第三阶段的进化。如战士之魂般闪耀。
An evolution of the Third Spinel Dragon Soul. It shines like a Warrior Soul.	尖晶石龙魂第三阶段的进化。如战士之魂般闪耀。
Printed z representing the strongest Warrior, performance is very good.	印有代表最强战士的 Z，性能优秀。
LGPrinted z representing the strongest Warrior, performance is very good.	印有代表最强战士的 Z，性能优秀。
MGPrinted z representing the strongest Warrior, performance is very good.	印有代表最强战士的 Z，性能优秀。
LHThis enhanced custom version was represented by the strongest Z-Warrior.	此强化定制版以最强 Z 战士为代表。
