原文	填写中文
%s charges %s.	%s 正在蓄力 %s。
%s affected.	%s 已生效。
%s canceled.	%s 已取消。
Bleed	出血
COND.	異常
Candy	糖果
Meter	公尺
Month	月
Stone	石化
EXP: %d / %d	EXP: %d / %d
%d*%d*%dbit	%d*%d*%dbit
VP  %d/%d	VP  %d/%d
%s Lv.%d	%s Lv.%d
Lv.%u %s	Lv.%u %s
+%u EXP	+%u EXP
TMQ #%u	TMQ #%u
%d EXP	%d EXP
%d FPS	%d FPS
Lv.%3d	Lv.%3d
SP: %u	SP: %u
Lv %d	Lv %d
Lv.%d	Lv.%d
Lv.%u	Lv.%u
CCBD	CCBD
Lv.1	Lv.1
Lv.2	Lv.2
Lv.3	Lv.3
Lv.5	Lv.5
Lv.7	Lv.7
%dh	%dh
%dm	%dm
FPS	FPS
HTB	HTB
LFP	LFP
Lv.	Lv.
NPC	NPC
TMQ	TMQ
https://opendbo.org/news	https://opendbo.org/news
https://dbozero.com/	https://dbozero.com/
%s[br][br]%s[br]%s	%s[br][br]%s[br]%s
%s[br][br]%s	%s[br][br]%s
