原文	填写中文
Advanced EXP Scroll [7 Days]	高級經驗卷軸［7 天］
Advanced EXP Scroll [30 Days]	高級經驗卷軸［30 天］
Advanced EXP Scroll [15 Days]	高級經驗卷軸［15 天］
Advanced EXP Scroll [1 Day]	高級經驗卷軸［1 天］
Advanced Weapon Upgrade Stone U70 Capsule [50x]	高級武器強化石 U70 膠囊［50×］
Advanced Weapon Upgrade Stone U70 Capsule [3x]	高級武器強化石 U70 膠囊［3×］
Advanced Weapon Upgrade Stone U70 Capsule [30x]	高級武器強化石 U70 膠囊［30×］
Advanced Weapon Upgrade Stone U70 Capsule [10x]	高級武器強化石 U70 膠囊［10×］
Advanced Weapon Upgrade Stone U60 Capsule [50x]	高級武器強化石 U60 膠囊［50×］
Advanced Weapon Upgrade Stone U60 Capsule [3x]	高級武器強化石 U60 膠囊［3×］
Advanced Weapon Upgrade Stone U60 Capsule [30x]	高級武器強化石 U60 膠囊［30×］
Advanced Weapon Upgrade Stone U60 Capsule [10x]	高級武器強化石 U60 膠囊［10×］
Advanced Weapon Upgrade Stone U55 [5x]	高級武器強化石 U55［5×］
Advanced Weapon Upgrade Stone U55 [3x]	高級武器強化石 U55［3×］
Advanced Weapon Upgrade Stone U55 [10x]	高級武器強化石 U55［10×］
Advanced Weapon Upgrade Stone U55 Capsule [50x]	高級武器強化石 U55 膠囊［50×］
Advanced Weapon Upgrade Stone U55 Capsule [30x]	高級武器強化石 U55 膠囊［30×］
Advanced Weapon Upgrade Stone U53 [5x]	高級武器強化石 U53［5×］
Advanced Weapon Upgrade Stone U53 [3x]	高級武器強化石 U53［3×］
Advanced Weapon Upgrade Stone U53 [10x]	高級武器強化石 U53［10×］
Advanced Weapon Upgrade Stone U53 Capsule [50x]	高級武器強化石 U53 膠囊［50×］
Advanced Weapon Upgrade Stone U53 Capsule [30x]	高級武器強化石 U53 膠囊［30×］
Advanced Weapon Upgrade Stone U50 [5x]	高級武器強化石 U50［5×］
Advanced Weapon Upgrade Stone U50 [3x]	高級武器強化石 U50［3×］
Advanced Weapon Upgrade Stone U50 [10x]	高級武器強化石 U50［10×］
Advanced Weapon Upgrade Stone U50 Capsule [50x]	高級武器強化石 U50 膠囊［50×］
Advanced Weapon Upgrade Stone U50 Capsule [30x]	高級武器強化石 U50 膠囊［30×］
Advanced Weapon Upgrade Stone U46 [5x]	高級武器強化石 U46［5×］
Advanced Weapon Upgrade Stone U46 [3x]	高級武器強化石 U46［3×］
Advanced Weapon Upgrade Stone U46 [10x]	高級武器強化石 U46［10×］
Advanced Weapon Upgrade Stone U42 [5x]	高級武器強化石 U42［5×］
Advanced Weapon Upgrade Stone U42 [3x]	高級武器強化石 U42［3×］
Advanced Weapon Upgrade Stone U42 [10x]	高級武器強化石 U42［10×］
Advanced Armor Upgrade Stone U70 Capsule [50x]	高級防具強化石 U70 膠囊［50×］
Advanced Armor Upgrade Stone U70 Capsule [30x]	高級防具強化石 U70 膠囊［30×］
Advanced Armor Upgrade Stone U70 Capsule [10x]	高級防具強化石 U70 膠囊［10×］
Advanced Armor Upgrade Stone U70 Capsule [5x]	高級防具強化石 U70 膠囊［5×］
Advanced Armor Upgrade Stone U70 Capsule [3x]	高級防具強化石 U70 膠囊［3×］
Advanced Armor Upgrade Stone U60 Capsule [50x]	高級防具強化石 U60 膠囊［50×］
Advanced Armor Upgrade Stone U60 Capsule [30x]	高級防具強化石 U60 膠囊［30×］
Advanced Armor Upgrade Stone U60 Capsule [10x]	高級防具強化石 U60 膠囊［10×］
Advanced Armor Upgrade Stone U60 Capsule [5x]	高級防具強化石 U60 膠囊［5×］
Advanced Armor Upgrade Stone U60 Capsule [3x]	高級防具強化石 U60 膠囊［3×］
Advanced Armor Upgrade Stone U55 Capsule [50x]	高級防具強化石 U55 膠囊［50×］
Advanced Armor Upgrade Stone U55 Capsule [30x]	高級防具強化石 U55 膠囊［30×］
Advanced Armor Upgrade Stone U53 Capsule [50x]	高級防具強化石 U53 膠囊［50×］
Advanced Armor Upgrade Stone U53 Capsule [30x]	高級防具強化石 U53 膠囊［30×］
Advanced Armor Upgrade Stone U50 Capsule [50x]	高級防具強化石 U50 膠囊［50×］
Advanced Armor Upgrade Stone U50 Capsule [30x]	高級防具強化石 U50 膠囊［30×］
Advanced VP Recovery Box [5x]	高級 VP 恢復禮包［5×］
Advanced VP Recovery Box [1x]	高級 VP 恢復禮包［1×］
Advanced Jewelry Recipe Chest	高級飾品配方箱
Advance Upgrade Capsule U30	高級強化膠囊 U30
Advance Practice Capsule	高級練習膠囊
Advance Potion Capsule	高級藥水膠囊
EV Advanced Fly Scroll [3 Min]	EV 高級舞空卷軸［3 分］
EV Advanced Fly Scroll [1 Day]	EV 高級舞空卷軸［1 天］
