原文	填写中文
This guild passive is already at max level.	此公会被动已达最高等级。
Not enough guild passive points available.	公会被动点数不足。
Guild passive upgrade already in progress.	公会被动升级进行中。
Guild passives reset. %d points returned.	公会被动已重置。返还 %d 点。
Upgrade the required guild passive first.	请先升级所需的公会被动。
Guild passive reset already in progress.	公会被动重置进行中。
Guild passive reset is on cooldown.	公会被动重置冷却中。
No guild passive points to reset.	没有可重置的公会被动点数。
Points: %d / %d  (Available: %d)	点数：%d／%d（可用：%d）
%s upgraded a guild passive.	%s 升级了公会被动。
Not enough guild reputation.	公会声望不足。
Cost: %u rep + %u zeni	消耗：%u 声望 ＋ %u 索尼
Reset available in: %s	重置可用时间：%s
Invalid guild passive.	无效的公会被动。
No points to reset	没有可重置的点数
Max level reached	已达最高等级
Reputation:	声望：
Hide Hit Texture Effects	隐藏受击贴图特效
Successfully exchanged.	兑换成功。
Mudosa currently unavailable.	武道寺目前无法使用。
HoiPoi prevent destruction	胶囊防爆
Penalty: %d remain	惩罚：剩余 %d
Monster emerges	怪物出现
Jr. Masters (4)	副会长（4）
Gain (%u) EXP.	获得（%u）经验。
Inspect Others	查看他人
Avoid Inspect	防查看
Abandoned: %s	已放弃：%s
Maxium Coupons	最大兑换券
%s Unlearned	%s 已遗忘
Toggle Buffs	切换增益
Mastered: %s	已精通：%s
%s Recorded	%s 已记录
Repairs: %u	修理：%u
Mech Maniac	机械狂热者
Visited: %s	已拜访：%s
Web Payment	网页支付
Exhibitors	参展者
Consumable	消耗品
Signed: %s	署名：%s
Range: %dM	范围：%dM
Unlock EXP	解锁经验
Permanent	永久
Shortcuts	快捷方式
Contents	目录
Receiver	接收者
Paralyze	麻痹
Passives	被动
Revealer	揭示者
PvP Zone	PvP 区域
%s Fled	%s 已逃跑
Uncommon	非普通
%s Updated ( %d / %d )	%s 已更新（ %d／%d ）
Predicts:%d%% Accuracy	预测：%d%% 命中率
Total: %u I, %u W, %u L	总计：%u 局，%u 胜，%u 负
Bacterian Rolling Scroll	细菌人滚动卷轴
Fused Zamasu Outfit	合体扎马斯服装
Damaged Future Trunks Outfit	受损的未来特兰克斯服装
Trunks Tank Top Outfit	特兰克斯背心服装
Time Patrol Trunks Outfit	时间巡逻队特兰克斯服装
Android 18 Tracksuit	人造人18号运动服
SAB Goku Outfit	SAB 悟空服装
SAB Vegeta Outfit	SAB 贝吉塔服装
Bulchi Outfit	布尔琪服装
Johnny Stars Dogi	约翰尼斯塔道服
Xicor Dogi	希克道服
Fantasma Hat	幻影帽
Bardock Armor Controlled	巴达克铠甲（控制版）
Broly Armor(no Jacket)	布罗利铠甲（无外套）
Suit Blue Tie	西装蓝领带
Suit Red Tie	西装红领带
Suit Yellow Tie	西装黄领带
Yadrat Dogi (Original Color)	亚德拉特道服（原色）
JB Vegito Wig	JB 贝吉特假发
SJ Rose Wig	SJ 玫粉假发
Super Brolly Movie Outfit	超级布罗利电影服装
Gohan Super Heroes Outfit	悟饭超级英雄服装
Damaged Shinigami Outfit	受损的死神服装
Kairi Clothes	凯里服装
Featuring Naruto.	收录《火影忍者》。
Featuring Bleach.	收录《死神》。
Korin Antique Necklace	花梨古董项链
Korin Antique Ring	花梨古董戒指
Secret Garden Necklace	秘密花园项链
Scroll of Emptiness	空虚卷轴
Mountain Spring Water	山泉水
Red Pants Tea	红裤茶
Extra Large Capsule Kit	特大胶囊套件
